age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
75,1,116.5568,0.04469,5.2089,90.512,95.721,100.93,106.139,111.348,116.557,121.766,126.975,132.184,137.392,6,1
76,1,117.0311,0.04475,5.2371,90.845,96.083,101.32,106.557,111.794,117.031,122.268,127.505,132.743,137.98,6,1
77,1,117.5044,0.04482,5.2665,91.172,96.438,101.705,106.971,112.238,117.504,122.771,128.037,133.304,138.571,6,1
78,1,117.9769,0.04489,5.296,91.497,96.793,102.089,107.385,112.681,117.977,123.273,128.569,133.865,139.161,6,1
79,1,118.4489,0.04495,5.3243,91.828,97.152,102.476,107.8,113.125,118.449,123.773,129.097,134.422,139.746,6,1
80,1,118.9208,0.04502,5.3538,92.152,97.506,102.859,108.213,113.567,118.921,124.275,129.628,134.982,140.336,6,1
81,1,119.3926,0.04508,5.3822,92.482,97.864,103.246,108.628,114.01,119.393,124.775,130.157,135.539,140.921,6,1
82,1,119.8648,0.04514,5.4107,92.811,98.222,103.633,109.043,114.454,119.865,125.275,130.686,136.097,141.508,6,1
83,1,120.3374,0.0452,5.4393,93.141,98.58,104.02,109.459,114.898,120.337,125.777,131.216,136.655,142.094,6,1
84,1,120.8105,0.04525,5.4667,93.477,98.944,104.41,109.877,115.344,120.81,126.277,131.744,137.211,142.677,7,1
85,1,121.2843,0.04531,5.4954,93.807,99.303,104.798,110.294,115.789,121.284,126.78,132.275,137.77,143.266,7,1
86,1,121.7587,0.04536,5.523,94.144,99.667,105.19,110.713,116.236,121.759,127.282,132.805,138.328,143.851,7,1
87,1,122.2338,0.04542,5.5519,94.475,100.026,105.578,111.13,116.682,122.234,127.786,133.338,138.889,144.441,7,1
88,1,122.7098,0.04547,5.5796,94.812,100.391,105.971,111.551,117.13,122.71,128.289,133.869,139.449,145.028,7,1
89,1,123.1868,0.04551,5.6062,95.156,100.762,106.368,111.974,117.581,123.187,128.793,134.399,140.005,145.612,7,1
90,1,123.6646,0.04556,5.6342,95.494,101.128,106.762,112.396,118.03,123.665,129.299,134.933,140.567,146.201,7,1
91,1,124.1435,0.04561,5.6622,95.833,101.495,107.157,112.819,118.481,124.144,129.806,135.468,141.13,146.792,7,1
92,1,124.6234,0.04565,5.6891,96.178,101.867,107.556,113.245,118.934,124.623,130.312,136.002,141.691,147.38,7,1
93,1,125.1045,0.04569,5.716,96.524,102.24,107.956,113.672,119.388,125.104,130.821,136.537,142.253,147.969,7,1
